ADM1_FR,FMIndex_Monthly_MAU,GT_FM_index,FM_final,FM_mobile_final
Béni Mellal-Khénifra,1.5744648779017183,0.7052238805970149,1.1166015413984833,1.1558454064255599
Drâa-Tafilalet,,,,
Fès-Meknès,1.4195539852541608,0.9695110350076104,0.9249658668791269,0.9574745410020324
Grand Casablanca-Settat,1.457373535443051,0.9562358792646652,0.9436893422696799,0.9768560680912644
Guelmim-Oued Noun,1.3898369359120213,0.4274809160305343,1.1166015413984833,1.1558454064255599
Marrakech-Safi,1.4695443186593127,1.0141103672144451,0.9201843889712201,0.952525014182593
Oriental,1.3380067052727826,0.7903225806451613,0.9946105876816778,1.0295669818924498
Rabat-Salé-Kénitra,1.3477762788208536,0.9505768605784856,0.9102096035853485,0.9421996568900527
Souss-Massa,1.3760566149007274,0.8705234159779615,0.9610678531701891,0.9948453608247423
Tanger-Tétouan-Al Hoceima,1.5624317878653138,0.751083202511774,1.1025102524127464,1.141258867681954
